date,zone,hurs,pr,sfcWind,tas
2023-05-03,Zone 4,79.69437200372869,1.0383895104579013e-05,3.813170617276972,288.4836453524503
2023-05-04,Zone 4,78.9261967052113,1.7045217439524343e-06,3.782759666442871,287.6402893066406
2023-05-05,Zone 4,78.65413076227361,3.8225761355451226e-05,1.9721849831667813,288.2021845037287
2023-05-06,Zone 4,82.41639397361062,5.200683186889034e-05,1.472895941951058,289.12006308815694
2023-05-07,Zone 4,89.19635287198153,6.76857155419632e-05,1.8398795561356978,289.5708077170632
2023-05-08,Zone 4,90.51659289273348,0.0001296329732709141,1.7059171470728787,290.307353626598
2023-05-09,Zone 4,89.02982330322266,0.0001316328829158341,3.1119410449808296,288.9523842551491
2023-05-10,Zone 4,91.02303106134588,6.489868081354706e-05,3.4351348226720635,288.927641435103
2023-05-11,Zone 4,90.1353329745206,6.601787051543148e-05,2.7604881741783838,289.12054443359375
2023-05-12,Zone 4,81.36822821877219,0.0,2.0038084387779236,290.22440684925425
2023-05-13,Zone 4,83.58260622891513,3.350017521535681e-05,2.038891385902058,290.8151924826882
2023-05-14,Zone 4,86.70146456631747,7.13160959342283e-05,1.9535119479352778,290.5631186745384
2023-05-15,Zone 4,82.10063795609908,5.030324948827249e-05,1.594549531286413,290.8430148037997
2023-05-16,Zone 4,90.80413714322177,9.513789138343947e-05,1.6257309480146929,289.9367967085405
2023-05-17,Zone 4,86.13852240822531,3.966322277516486e-05,2.5980544794689524,290.60695856267756
2023-05-18,Zone 4,90.50610143488103,8.341486268777358e-05,2.81945045969703,290.6400507146662
2023-05-19,Zone 4,89.91928759488192,0.00012695695105238966,2.095254421234131,290.4154246937145
2023-05-20,Zone 4,93.80962822654031,0.00011824866537195207,2.0860601013356987,289.5040754838423
2023-05-21,Zone 4,90.69515609741211,7.015193411709994e-05,1.9759865403175354,289.9660269997337
2023-05-22,Zone 4,88.60772288929333,8.731826991689476e-05,1.7105317440899936,289.56578063964844
2023-05-23,Zone 4,80.9812854420055,5.220271718413146e-05,1.348227863962,290.0088348388672
2023-05-24,Zone 4,86.34845733642578,4.340446461851984e-05,1.808448772538792,290.30302984064275
2023-05-25,Zone 4,83.98847822709517,8.152894919145514e-05,2.192153974012895,290.6787178733132
2023-05-26,Zone 4,83.03981018066406,7.309946787162599e-05,2.236531750722365,291.65895912863994
2023-05-27,Zone 4,90.369534925981,6.611235568760259e-05,3.6070756912231445,290.14607654918325
2023-05-28,Zone 4,90.96063509854403,2.8245525300008012e-05,4.312334548343312,290.6916809082031
2023-05-29,Zone 4,88.88103970614347,5.623155857392703e-06,3.3715013482353906,292.70158247514206
2023-05-30,Zone 4,92.7156059958718,9.683404112531042e-05,2.5835582451386885,293.64470741965556
2023-05-31,Zone 4,94.19209428267045,0.00013668597933825697,2.0038118254054678,293.66813520951706
